IDs	baseMean	log2FoldChange	lfcSE	pvalue	padj
TRINITY_DN1413_c2_g1	16.75830293	-0.066593361	0.179916947	0.374594577	0.814782978
TRINITY_DN649_c0_g1	10.68453288	-0.066708033	0.196709089	0.369650478	0.811222353
TRINITY_DN3961_c0_g1	46.34100435	-0.066749898	0.13580105	0.375488725	0.815661969
TRINITY_DN1984_c4_g1	8.250144263	-0.06677185	0.210187837	0.362705354	0.808738193
TRINITY_DN7101_c0_g1	4.407217962	-0.066843447	0.235595325	0.336825241	NA
TRINITY_DN569_c0_g1	11.70859039	-0.06689898	0.197999101	0.368041931	0.810593179
TRINITY_DN2469_c0_g1	12.72458208	-0.066908509	0.202603062	0.366038883	0.810484472
TRINITY_DN18817_c0_g1	2.728829379	-0.066976965	0.259771091	0.284269761	NA
TRINITY_DN10721_c0_g1	16.85720231	-0.067006514	0.17573616	0.372663759	0.812491094
TRINITY_DN10086_c0_g1	11.1269817	-0.067050868	0.205033128	0.364030635	0.810065498
TRINITY_DN954_c0_g1	5.26777289	-0.067085955	0.230769314	0.342148659	NA
TRINITY_DN5668_c0_g1	4.607574237	-0.067140371	0.233614383	0.338130119	NA
TRINITY_DN3163_c0_g1	85.23200148	-0.067164569	0.116120524	0.367374458	0.810484472
TRINITY_DN4469_c0_g1	7.456370935	-0.067232436	0.215457743	0.356483529	NA
TRINITY_DN3841_c0_g1	41.95286038	-0.067247833	0.137352783	0.37234135	0.812270219
TRINITY_DN10030_c0_g1	7.343543109	-0.067284466	0.216236924	0.355601449	NA
TRINITY_DN25544_c0_g1	5.602238645	-0.067322644	0.231212195	0.340364029	NA
TRINITY_DN34022_c0_g1	37.21257628	-0.067322668	0.14874378	0.372196366	0.81222006
TRINITY_DN1380_c1_g1	29.2979446	-0.067336983	0.152331415	0.372075151	0.81222006
TRINITY_DN81_c0_g1	13.09139617	-0.067381199	0.190388831	0.367642579	0.810484472
TRINITY_DN1907_c0_g1	3.652914126	-0.067497718	0.244430667	0.318886686	NA
TRINITY_DN3652_c0_g1	187.16472	-0.067500981	0.094675384	0.340014335	0.79599699
TRINITY_DN3743_c0_g4	2.245888775	-0.067502478	0.265910721	0.262444669	NA
TRINITY_DN1112_c0_g1	46.63292612	-0.067586988	0.133014398	0.369700452	0.811222353
TRINITY_DN1787_c4_g1	18.78359345	-0.067606762	0.170970155	0.369495989	0.811222353
TRINITY_DN9215_c0_g1	18.48707988	-0.067626471	0.176411111	0.368802447	0.811222353
TRINITY_DN700_c1_g1	35.89436242	-0.067638908	0.150015159	0.370184195	0.811222353
TRINITY_DN2873_c0_g1	20.13265259	-0.067659785	0.17531447	0.368731589	0.811222353
TRINITY_DN5196_c0_g1	8.013158441	-0.067697523	0.211195675	0.356836522	0.805713943
TRINITY_DN233_c0_g1	97.12810369	-0.067727562	0.124636796	0.367094703	0.810484472
TRINITY_DN2304_c0_g1	59.11803012	-0.06782276	0.129860797	0.367672191	0.810484472
TRINITY_DN7658_c0_g1	7.784438227	-0.067865182	0.210538101	0.356309188	0.805713943
TRINITY_DN5266_c0_g1	9.170311867	-0.067867042	0.204875029	0.359434878	0.806252834
TRINITY_DN611_c0_g1	4.996942366	-0.067919176	0.233384964	0.334493507	NA
TRINITY_DN5346_c0_g1	19.7564518	-0.068009467	0.168928837	0.367200823	0.810484472
TRINITY_DN1855_c0_g1	19.55392054	-0.068022493	0.171060972	0.366952916	0.810484472
TRINITY_DN1358_c0_g1	5.744706069	-0.068033668	0.230929025	0.337069047	NA
TRINITY_DN7289_c0_g1	9.653174084	-0.068057958	0.203853324	0.358841559	0.806252834
TRINITY_DN46_c0_g2	2.32267178	-0.068062276	0.267072994	0.256589737	NA
TRINITY_DN25_c1_g1	85.07185547	-0.068085647	0.114155472	0.359906566	0.806252834
TRINITY_DN4331_c0_g1	1.619595993	-0.068097799	0.283165532	0.182441081	NA
TRINITY_DN5767_c0_g1	15.43962786	-0.068109648	0.180324147	0.365359699	0.81037726
TRINITY_DN4343_c0_g1	98.67085379	-0.068114664	0.116675993	0.361231153	0.806802085
TRINITY_DN8779_c0_g2	24.73214598	-0.068149441	0.16246168	0.366714364	0.810484472
TRINITY_DN1509_c0_g1	40.95145731	-0.068149722	0.139999892	0.366681096	0.810484472
TRINITY_DN6015_c0_g1	5.959961431	-0.068178264	0.22886985	0.338783939	NA
TRINITY_DN2405_c0_g1	75.66127281	-0.068209357	0.117507299	0.36103878	0.806643019
TRINITY_DN2481_c1_g1	2.406318488	-0.068263058	0.264099363	0.266185605	NA
TRINITY_DN2755_c0_g1	51.84876082	-0.068288258	0.131954901	0.364973215	0.81037726
TRINITY_DN690_c6_g1	3.08774033	-0.068290922	0.260166202	0.278281122	NA
TRINITY_DN1685_c0_g1	67.30879662	-0.068295773	0.125191989	0.363484759	0.809662605
TRINITY_DN4869_c0_g1	8.041259865	-0.068312899	0.210721768	0.35370015	0.805713943
TRINITY_DN1655_c0_g1	82.839538	-0.068320564	0.136219263	0.365289615	0.81037726
TRINITY_DN359_c5_g1	8.093664686	-0.068324621	0.210651634	0.35367796	0.805713943
TRINITY_DN4010_c0_g1	6.164411151	-0.068352486	0.22462151	0.34244128	NA
TRINITY_DN6003_c0_g1	7.550917976	-0.068516833	0.214551378	0.350061902	0.804613187
TRINITY_DN6242_c0_g1	2.893941131	-0.068577147	0.259274108	0.279807603	NA
TRINITY_DN14562_c0_g1	3.246655042	-0.068581775	0.25232651	0.297590283	NA
TRINITY_DN4394_c0_g1	8.284384909	-0.068589905	0.214394333	0.349772678	0.804613187
TRINITY_DN118_c0_g1	14.367029	-0.068648769	0.183818682	0.361590042	0.807134518
TRINITY_DN3324_c0_g1	32.75614337	-0.06865872	0.147206756	0.363730815	0.809939721
TRINITY_DN341_c2_g1	4.823469457	-0.06869647	0.236815686	0.325859218	NA
TRINITY_DN402_c3_g1	23.29709434	-0.068726793	0.165973085	0.36302134	0.808900963
TRINITY_DN7013_c0_g1	3.693604264	-0.068756312	0.249480738	0.303159599	NA
TRINITY_DN5632_c0_g1	2.932180581	-0.068759873	0.257105187	0.285056784	NA
TRINITY_DN5946_c0_g1	59.87330532	-0.068816421	0.126848233	0.360508948	0.806252834
TRINITY_DN382_c0_g2	61.96043394	-0.068835341	0.123913849	0.359540986	0.806252834
TRINITY_DN6659_c0_g2	6.321977142	-0.068870159	0.223493379	0.340826258	NA
TRINITY_DN2138_c0_g1	37.05603436	-0.068947905	0.144513561	0.361834903	0.807310701
TRINITY_DN6495_c0_g1	1.711738668	-0.069024013	0.277800877	0.209730463	NA
TRINITY_DN110_c0_g2	5.410792207	-0.069038929	0.228998341	0.334237399	NA
TRINITY_DN6731_c0_g1	3.045924722	-0.069069948	0.258702478	0.279595555	NA
TRINITY_DN279_c0_g1	92.70201977	-0.069094223	0.172863321	0.360345971	0.806252834
TRINITY_DN1380_c0_g1	18.3047909	-0.069101464	0.172348627	0.360345678	0.806252834
TRINITY_DN4057_c2_g1	13.97182681	-0.069136334	0.184878822	0.358540593	0.806252834
TRINITY_DN4350_c0_g1	11.19738531	-0.0691474	0.194236069	0.356268413	0.805713943
TRINITY_DN5706_c0_g1	11.44765911	-0.069194554	0.193900031	0.356096965	0.805713943
TRINITY_DN11244_c0_g1	30.88081915	-0.069203631	0.153589224	0.36041226	0.806252834
TRINITY_DN835_c1_g1	3.167807256	-0.069332286	0.25432398	0.289846866	NA
TRINITY_DN1770_c0_g1	7.834094492	-0.069341436	0.212353086	0.347035984	0.802558383
TRINITY_DN8969_c0_g1	3.854115712	-0.069389863	0.249392356	0.300647119	NA
TRINITY_DN23248_c0_g1	9.749839913	-0.069402733	0.206543786	0.349988736	0.804613187
TRINITY_DN15203_c0_g1	1.728569593	-0.069434444	0.277007248	0.21280669	NA
TRINITY_DN3819_c0_g1	65.35291722	-0.069437657	0.122130197	0.354959277	0.805713943
TRINITY_DN5707_c0_g1	65.91647772	-0.069524577	0.124616799	0.355258615	0.805713943
TRINITY_DN5154_c0_g1	49.92188115	-0.069554091	0.135731128	0.357349372	0.805713943
TRINITY_DN13657_c0_g1	3.695136773	-0.069584394	0.248421625	0.301805863	NA
